text,label
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
The Prophet Muhammad (PBUH) said that honesty leads to righteousness.,Islamic
The Quran is the holy book of Islam.,Islamic
Muslims pray five times a day facing the Kaaba.,Islamic
Zakat is one of the five pillars of Islam.,Islamic
Fasting during Ramadan is an obligation for all adult Muslims.,Islamic
Hajj is a pilgrimage to Mecca that Muslims must perform at least once.,Islamic
The Prophet (PBUH) emphasized kindness to neighbors.,Islamic
Surah Al-Fatiha is the opening chapter of the Quran.,Islamic
Islam teaches compassion and justice.,Islamic
Hadith are the sayings and traditions of the Prophet (PBUH).,Islamic
